Date,Open,High,Low,Close,Adj Close,Volume
2016-07-18,98.699997,100.129997,98.599998,99.830002,93.888084,36493900
2016-07-19,99.559998,100.000000,99.339996,99.870003,93.925690,23779900
2016-07-20,100.000000,100.459999,99.739998,99.959999,94.010345,26276000
2016-07-21,99.830002,101.000000,99.129997,99.430000,93.511902,32702000
2016-07-22,99.260002,99.300003,98.309998,98.660004,92.787727,28313700
2016-07-25,98.250000,98.839996,96.919998,97.339996,91.546280,40382900
2016-07-26,96.820000,97.970001,96.419998,96.669998,90.916161,56239800
2016-07-27,104.269997,104.349998,102.750000,102.949997,96.822357,92344800
2016-07-28,102.830002,104.449997,102.820000,104.339996,98.129608,39869800
2016-07-29,104.190002,104.550003,103.680000,104.209999,98.007370,27733700
2016-08-01,104.410004,106.150002,104.410004,106.050003,99.737846,38167900
2016-08-02,106.050003,106.070000,104.000000,104.480003,98.261307,33816600
2016-08-03,104.809998,105.839996,104.769997,105.790001,99.493340,30202600
2016-08-04,105.580002,106.000000,105.279999,105.870003,100.107964,27408700
2016-08-05,106.269997,107.650002,106.180000,107.480003,101.630318,40553400
2016-08-08,107.519997,108.370003,107.160004,108.370003,102.471878,28037200
2016-08-09,108.230003,108.940002,108.010002,108.809998,102.887939,26315200
2016-08-10,108.709999,108.900002,107.760002,108.000000,102.122032,24008500
2016-08-11,108.519997,108.930000,107.849998,107.930000,102.055840,27484500
2016-08-12,107.779999,108.440002,107.779999,108.180000,102.292229,18660400
2016-08-15,108.139999,109.540001,108.080002,109.480003,103.521500,25868200
2016-08-16,109.629997,110.230003,109.209999,109.379997,103.426918,33794400
2016-08-17,109.099998,109.370003,108.339996,109.220001,103.275635,25356000
2016-08-18,109.230003,109.599998,109.019997,109.080002,103.143242,21984700
2016-08-19,108.769997,109.690002,108.360001,109.360001,103.408005,25368100
2016-08-22,108.860001,109.099998,107.849998,108.510002,102.604279,25820200
2016-08-23,108.589996,109.320000,108.529999,108.849998,102.925758,21257700
2016-08-24,108.570000,108.750000,107.680000,108.029999,102.150391,23675100
2016-08-25,107.389999,107.879997,106.680000,107.570000,101.715446,25086200
2016-08-26,107.410004,107.949997,106.309998,106.940002,101.119705,27766300
2016-08-29,106.620003,107.440002,106.290001,106.820000,101.006248,24970300
2016-08-30,105.800003,106.500000,105.500000,106.000000,100.230888,24863900
2016-08-31,105.660004,106.570000,105.639999,106.099998,100.325439,29662400
2016-09-01,106.139999,106.800003,105.620003,106.730003,100.921158,26701500
2016-09-02,107.699997,108.000000,106.820000,107.730003,101.866730,26802500
2016-09-06,107.900002,108.300003,107.510002,107.699997,101.838356,26880400
2016-09-07,107.830002,108.760002,107.070000,108.360001,102.462425,42364300
2016-09-08,107.250000,107.269997,105.239998,105.519997,99.777016,53002000
